Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
297,Darick Hall,PHI,41,136,19,34,8,1,9,16,0,0,5,44,1,0,0,hallda02
298,Billy Hamilton,TOT,37,20,13,1,0,0,0,0,10,1,2,12,0,0,0,hamilbi02
299,Caleb Hamilton,MIN,22,18,5,1,0,0,1,1,0,0,4,14,0,0,0,hamilca01
300,Garrett Hampson,COL,90,199,29,42,7,3,2,15,12,2,21,63,1,2,0,hampsga01
301,Mitch Haniger,SEA,57,224,31,55,8,0,11,34,0,0,20,65,1,2,1,hanigmi01
302,Ian Happ,CHC,158,573,72,155,42,2,17,72,9,4,58,149,6,4,4,happia01
303,Bryce Harper,PHI,99,370,63,106,28,1,18,65,11,4,46,87,3,7,9,harpebr03
304,Michael Harris,ATL,114,414,75,123,27,3,19,64,20,2,21,107,5,0,0,harrimi04
305,Josh Harrison,CHW,119,386,50,99,19,2,7,27,2,1,21,71,14,2,0,harrijo05
306,Monte Harrison,LAA,9,11,5,2,0,0,1,3,1,0,2,8,1,0,0,harrimo01
307,Adam Haseley,CHW,14,21,4,5,0,0,0,2,0,0,3,7,0,0,0,haselad01
308,Ke'Bryan Hayes,PIT,136,505,55,123,24,3,7,41,20,5,48,122,5,2,0,hayeske01
309,Austin Hays,BAL,145,535,66,134,35,2,16,60,2,4,34,114,10,3,0,haysau01
310,Austin Hedges,CLE,105,294,26,48,4,0,7,30,2,0,25,78,6,3,0,hedgeau01
311,Jonah Heim,TEX,127,406,51,92,20,1,16,48,2,0,41,87,1,2,0,heimjo01
312,Tyler Heineman,TOT,62,157,16,34,8,0,0,9,1,0,8,17,5,0,0,heinety01
313,Gunnar Henderson,BAL,34,116,12,30,7,1,4,18,1,1,16,34,0,0,1,hendegu01
314,Liam Hendriks,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hendrli01
315,Ryan Hendrix,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hendrry01
316,Payton Henry,MIA,15,28,2,4,0,0,0,4,0,0,5,8,2,0,0,henrypa01
317,David Hensley,HOU,16,29,7,10,2,1,1,5,0,0,5,6,0,0,0,henslda01
318,Guillermo Heredia,ATL,74,76,12,12,3,1,3,8,0,0,6,32,0,0,0,heredgu01
319,Michael Hermosillo,CHC,31,61,7,7,2,0,0,4,1,0,7,27,4,0,0,hermomi01
320,Carlos Hernandez,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hernaca04
321,Cesar Hernandez,WSN,147,560,64,139,28,4,1,34,10,4,45,114,7,2,0,hernace02
322,Elier Hernandez,TEX,14,33,4,6,2,0,0,3,0,0,1,15,0,1,0,hernael02
323,Enrique Hernandez,BOS,93,361,48,80,24,0,6,45,0,2,34,71,3,4,0,hernaen02
324,Teoscar Hernandez,TOR,131,499,71,133,35,1,25,77,6,3,34,152,2,0,0,hernate01
325,Yadiel Hernández,WSN,94,305,30,82,16,0,9,41,2,1,19,74,1,2,0,hernaya01
326,Yonny Hernandez,ARI,12,24,2,2,0,0,0,0,2,0,2,4,0,0,0,hernayo02
327,Ivan Herrera,STL,11,18,0,2,0,0,0,1,0,0,2,8,0,1,0,herreiv01
328,Jose Herrera,ARI,47,111,9,21,2,0,0,5,0,0,9,34,0,0,0,herrejo04
329,Odubel Herrera,PHI,62,185,23,44,9,1,5,21,6,0,11,42,0,1,0,herreod01
330,Jason Heyward,CHC,48,137,15,28,5,1,1,10,1,0,11,32,3,0,0,heywaja01
331,Brewer Hicklen,KCR,6,4,1,0,0,0,0,0,0,0,0,4,0,0,0,hicklbr01
332,Aaron Hicks,NYY,130,384,54,83,9,2,8,40,10,3,62,109,4,2,3,hicksaa01
333,Kyle Higashioka,NYY,83,229,27,52,7,0,10,31,0,1,12,52,1,4,0,higasky01
334,P.J. Higgins,CHC,74,201,23,46,11,1,6,30,0,0,22,58,2,1,0,higgipj01
335,Derek Hill,DET,31,83,8,19,2,0,1,3,3,0,5,28,0,1,0,hillde01
336,Sam Hilliard,COL,70,174,26,32,6,1,2,14,5,1,23,57,1,2,0,hillisa01
337,Keston Hiura,MIL,80,234,34,53,8,1,14,32,5,2,23,111,8,1,0,hiurake01
338,Nico Hoerner,CHC,135,481,60,135,22,5,10,55,20,2,28,57,6,2,4,hoernni01
339,Jeff Hoffman,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hoffmje02
340,Rhys Hoskins,PHI,156,589,81,145,33,2,30,79,2,1,72,169,6,4,0,hoskirh01
341,Eric Hosmer,TOT,104,380,38,102,19,0,8,44,0,0,37,64,1,1,5,hosmeer01
342,Sam Huff,TEX,44,121,9,29,4,0,4,10,1,0,11,42,0,0,1,huffsa01
343,Brandon Hughes,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hughebr01
344,Cooper Hummel,ARI,66,176,20,31,8,3,3,17,4,1,23,64,1,1,0,hummeco01
345,Tommy Hunter,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hunteto02
346,Andy Ibáñez,TEX,40,119,13,26,4,0,1,9,3,0,9,21,0,0,0,ibanean01
347,José Iglesias,COL,118,439,48,128,30,0,3,47,2,3,17,56,8,3,0,iglesjo01
348,Ender Inciarte,NYM,11,8,1,1,0,0,0,0,0,0,0,0,0,0,0,inciaen01
349,Jonathan India,CIN,103,386,48,96,16,2,10,41,3,4,31,94,14,0,1,indiajo01
350,Kyle Isbel,KCR,106,256,32,54,10,4,5,28,9,6,16,75,3,2,0,isbelky01
351,Alex Jackson,MIL,5,12,0,3,0,0,0,0,0,0,0,7,0,0,0,jacksal02
352,Drew Jackson,OAK,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,jacksdr01
353,Travis Jankowski,TOT,44,55,11,9,0,0,0,2,3,0,8,10,1,0,0,jankotr01
354,Danny Jansen,TOR,72,215,34,56,10,0,15,44,1,0,25,44,3,5,1,janseda01
355,Ryan Jeffers,MIN,67,212,25,44,10,1,7,27,0,0,23,62,0,0,0,jeffery01
356,Eloy Jiménez,CHW,84,292,40,86,12,0,16,54,0,0,28,72,3,4,0,jimenel02
357,Connor Joe,COL,111,404,56,96,20,4,7,28,6,2,55,97,7,1,0,joeco01
358,Bryce Johnson,SFG,11,18,1,2,0,0,0,2,0,0,1,7,0,0,0,johnsbr03
359,Nolan Jones,CLE,28,86,10,21,5,0,2,13,0,0,8,31,0,0,1,jonesno01
360,Taylor Jones,HOU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,jonesta01
361,Aaron Judge,NYY,157,570,133,177,28,0,62,131,16,3,111,175,6,5,19,judgeaa01
362,Josh Jung,TEX,26,98,9,20,4,1,5,14,2,0,4,39,0,0,0,jungjo01
363,James Kaprielian,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kaprija01
364,Gosuke Katoh,TOR,8,7,2,1,1,0,0,0,0,0,3,1,0,0,0,katohgo01
365,Jarred Kelenic,SEA,54,163,20,23,5,1,7,17,5,2,16,61,1,1,0,kelenja01
366,Carson Kelly,ARI,104,317,40,67,18,0,7,35,2,0,29,71,4,4,0,kellyca02
367,Tony Kemp,OAK,147,497,61,117,24,2,7,46,11,1,45,69,8,3,0,kempto01
368,Buddy Kennedy,ARI,30,83,10,18,2,2,1,12,0,0,8,23,1,2,0,kennebu01
369,Ian Kennedy,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kenneia01
370,Max Kepler,MIN,115,388,54,88,18,1,9,43,3,2,49,66,5,4,1,keplema01
371,Kevin Kiermaier,TBR,63,206,28,47,8,0,7,22,6,1,14,61,1,0,0,kiermke01
372,Ha-Seong Kim,SDP,150,517,58,130,29,3,11,59,12,2,51,100,7,4,0,kimha01
373,Craig Kimbrel,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kimbrcr01
374,Isiah Kiner-Falefa,NYY,142,483,66,126,20,0,4,48,22,4,35,72,5,5,2,kineris01
375,Scott Kingery,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kingesc01
376,Alex Kirilloff,MIN,45,144,14,36,7,0,3,21,0,0,5,36,4,2,0,kirilal01
377,Alejandro Kirk,TOR,139,470,59,134,19,0,14,63,0,0,63,58,4,4,2,kirkal01
378,Andrew Knapp,TOT,16,39,4,5,1,0,0,4,0,0,5,12,1,1,0,knappan01
379,Andrew Knizner,STL,96,260,28,56,10,0,4,25,0,1,26,62,6,0,0,kniznan01
380,Mark Kolozsvary,CIN,10,20,3,4,2,0,1,3,0,0,1,9,0,0,0,kolozma01
381,Joey Krehbiel,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,krehbjo01
382,Ryan Kreidler,DET,26,73,8,13,1,0,1,6,0,1,6,22,1,2,0,kreidry01
383,Jason Krizan,SFG,3,8,0,1,0,0,0,0,0,0,2,3,0,0,0,krizaja01
384,Joel Kuhnel,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kuhnejo01
385,Steven Kwan,CLE,147,563,89,168,25,7,6,52,19,5,62,60,7,4,2,kwanst01
386,Tommy La Stella,SFG,60,180,17,43,14,0,2,14,0,0,11,30,1,3,0,lasteto01
387,Juan Lagares,LAA,20,60,4,11,2,1,0,0,0,0,2,15,0,0,0,lagarju01
388,Jake Lamb,TOT,41,97,13,21,6,1,3,6,0,1,11,38,3,0,0,lambja01
389,Jimmy Lambert,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lambeji01
390,Shea Langeliers,OAK,40,142,14,31,10,1,6,22,0,0,9,53,0,2,0,langesh01
391,Trevor Larnach,MIN,51,160,22,37,13,0,5,18,0,0,18,57,0,2,1,larnatr01
392,Jack Larsen,SEA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,larseja01
393,Ramon Laureano,OAK,94,346,49,73,18,0,13,34,11,6,25,104,12,0,0,laurera01
394,Bryan Lavastida,CLE,6,12,0,1,0,0,0,0,0,0,3,4,0,0,0,lavasbr01
395,Charles Leblanc,MIA,48,156,18,41,10,0,4,11,4,2,12,53,1,0,0,leblach01
396,Khalil Lee,NYM,2,2,1,1,0,0,1,3,0,0,0,0,0,0,0,leekh01
397,Korey Lee,HOU,12,25,1,4,2,0,0,4,0,0,1,9,0,0,0,leeko01
398,DJ LeMahieu,NYY,125,467,74,122,18,0,12,46,4,3,67,71,4,2,0,lemahdj01
399,Sandy Leon,TOT,33,71,6,12,3,0,0,4,0,0,13,27,0,0,0,leonsa01
400,Josh Lester,DET,2,5,0,0,0,0,0,0,0,0,0,3,0,0,0,lestejo02
401,Kyle Lewis,SEA,18,56,6,8,0,0,3,5,0,0,5,19,1,0,0,lewisky01
402,Royce Lewis,MIN,12,40,5,12,4,0,2,5,0,0,1,5,0,0,0,lewisro02
403,Luis Liberato,SDP,7,5,0,0,0,0,0,0,0,0,0,3,0,0,0,liberlu01
404,Matthew Liberatore,STL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,liberma01
405,Francisco Lindor,NYM,161,630,98,170,25,5,26,107,16,6,59,133,10,7,2,lindofr01
406,Jonathan Loaisiga,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loaisjo01
407,Tim Locastro,NYY,38,43,13,8,1,0,2,4,8,2,2,7,1,0,0,locasti01
408,Evan Longoria,SFG,89,266,31,65,13,0,14,42,0,0,27,83,2,3,2,longoev01
409,Christian Lopes,OAK,4,9,0,0,0,0,0,0,0,0,1,5,0,0,0,lopesch01
410,Alejo Lopez,CIN,59,145,15,38,5,1,1,10,3,1,9,21,2,0,1,lopezal03
411,Jorge Lopez,TOT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lopezjo02
412,Nicky Lopez,KCR,141,436,51,99,12,4,0,20,13,3,29,63,4,1,0,lopezni01
413,Otto Lopez,TOR,8,9,0,6,0,0,0,3,0,1,1,1,0,0,0,lopezot01
414,Reynaldo Lopez,CHW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lopezre01
415,Brandon Lowe,TBR,65,235,31,52,10,2,8,25,1,0,27,61,3,1,0,lowebr01
416,Josh Lowe,TBR,52,181,24,40,12,2,2,13,3,0,15,66,1,0,1,lowejo01
417,Nathaniel Lowe,TEX,157,593,74,179,26,3,27,76,2,2,48,147,4,0,2,lowena01
418,Jed Lowrie,OAK,50,167,14,30,5,0,3,16,1,0,15,39,0,2,0,lowrije01
419,Seth Lugo,NYM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lugose01
420,Jordan Luplow,ARI,83,205,26,36,5,0,11,28,5,1,25,60,3,1,1,luplojo01
421,Gavin Lux,LAD,129,421,66,116,20,7,6,42,7,2,47,95,0,3,0,luxga01
422,Daniel Lynch,KCR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lynchda02
423,Dixon Machado,SFG,5,15,1,3,0,0,0,0,0,0,1,5,1,0,0,machadi01
424,Manny Machado,SDP,150,578,100,172,37,1,32,102,9,1,63,133,1,2,10,machama01
425,Vimael Machin,OAK,73,223,26,49,12,0,1,13,1,1,25,47,2,3,0,machivi01
426,David MacKinnon,TOT,22,50,2,7,0,0,0,6,0,0,6,17,0,1,0,mackida01
427,Nick Madrigal,CHC,59,209,19,52,7,0,0,7,3,1,14,27,3,0,0,madrini01
428,Bligh Madris,PIT,39,113,10,20,7,0,1,7,2,1,10,31,0,0,0,madribl01
429,Luke Maile,CLE,76,181,19,40,10,0,3,17,0,0,19,54,3,3,0,mailelu01
430,Martin Maldonado,HOU,113,344,40,64,12,0,15,45,0,0,22,116,7,2,0,maldoma01
431,Trey Mancini,TOT,143,519,56,124,23,1,18,63,0,0,53,135,10,5,2,mancitr01
432,Joe Mantiply,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mantijo01
433,Tucupita Marcano,PIT,49,160,18,33,6,2,2,13,2,1,10,44,1,1,0,marcatu01
434,Manuel Margot,TBR,89,336,36,92,18,2,4,47,7,3,24,68,2,1,1,margoma01
435,Jake Marisnick,PIT,31,77,9,18,6,0,2,6,2,1,4,24,0,0,1,marisja01
436,Deven Marrero,NYM,5,6,0,0,0,0,0,0,1,0,0,3,0,0,0,marrede01
437,Brandon Marsh,TOT,134,424,49,104,18,4,11,52,10,4,28,158,3,3,1,marshbr02
438,Ketel Marte,ARI,137,492,68,118,42,2,12,52,5,1,55,101,6,5,3,marteke01
439,Starling Marte,NYM,118,466,76,136,24,5,16,63,18,9,26,97,13,0,0,martest01
440,Brett Martin,TEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,martibr01
441,Chris Martin,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,martich02
442,Richie Martin,BAL,13,30,4,5,0,2,0,3,3,1,3,10,0,0,0,martiri01
443,J.D. Martinez,BOS,139,533,76,146,43,1,16,62,0,0,52,145,5,5,1,martijd02
444,Michael Massey,KCR,52,173,16,42,9,1,4,17,3,0,9,46,8,2,0,massemi02
445,Miles Mastrobuoni,TBR,8,16,1,3,0,0,0,0,1,0,1,6,0,0,0,mastrmi01
446,Jorge Mateo,BAL,150,494,63,109,25,7,13,50,35,9,27,147,5,2,0,mateojo01
447,Mark Mathias,TOT,30,81,13,20,3,0,6,20,3,0,9,30,0,1,0,mathima01
448,J.J. Matijevic,HOU,32,67,7,14,2,0,2,5,1,0,2,25,2,0,0,matijjj01
449,Nick Maton,PHI,34,72,13,18,2,1,5,17,0,0,10,29,1,2,0,matonni01
450,Jack Mayfield,LAA,23,70,8,13,1,1,1,6,1,0,3,17,1,0,0,mayfija01
451,Nomar Mazara,SDP,55,159,16,42,8,0,2,18,0,0,10,40,2,0,0,mazarno01
452,Patrick Mazeika,NYM,24,68,4,13,4,0,1,6,0,0,2,9,0,0,0,mazeipa01
453,James McCann,NYM,61,174,19,34,6,0,3,18,3,0,11,46,4,2,0,mccanja02
454,Jake McCarthy,ARI,99,321,53,91,16,3,8,43,23,3,23,76,6,1,0,mccarja02
455,Chas McCormick,HOU,119,359,47,88,12,2,14,44,4,3,46,106,1,1,0,mccorch01
456,Andrew McCutchen,MIL,134,515,66,122,25,0,17,69,8,6,57,124,4,4,1,mccutan01
457,Mickey McDonald,OAK,4,4,0,0,0,0,0,0,0,0,2,3,0,0,0,mcdonmi01
458,Reese McGuire,TOT,89,249,25,67,14,1,3,22,1,0,12,56,3,3,0,mcguire01
459,Ryan McKenna,BAL,104,156,23,37,10,0,2,11,2,1,11,55,2,1,1,mckenry01
460,Billy McKinney,OAK,23,52,3,5,1,0,1,4,0,0,4,16,0,1,1,mckinbi01
461,Zach McKinstry,TOT,57,166,21,33,6,3,5,14,7,0,16,52,1,0,0,mckinza01
462,Ryan McMahon,COL,153,529,67,130,23,3,20,67,7,3,60,158,5,3,0,mcmahry01
463,Jeff McNeil,NYM,148,533,73,174,39,1,9,62,4,0,40,61,11,5,1,mcneije01
464,Austin Meadows,DET,36,128,9,32,6,2,0,11,0,1,16,17,3,0,0,meadoau01
465,Adonis Medina,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medinad01
466,Francisco Mejia,TBR,93,289,32,70,22,0,6,31,0,0,7,65,2,1,0,mejiafr01
467,Mark Melancon,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,melanma01
468,MJ Melendez,KCR,129,460,57,100,21,3,18,62,2,3,66,131,1,7,1,melenmj01
469,Danny Mendick,CHW,31,97,22,28,4,1,3,15,1,0,7,23,1,0,0,mendida01
470,Joey Meneses,WSN,56,222,33,72,14,0,13,34,1,0,15,52,1,2,2,menesjo01
471,Oscar Mercado,TOT,55,121,17,25,6,1,4,16,2,2,5,29,1,1,0,mercaos01
472,Yermin Mercedes,SFG,31,73,9,17,5,0,1,8,0,0,9,17,1,0,0,merceye01
473,Whit Merrifield,TOT,139,504,70,126,28,1,11,58,16,5,38,85,0,8,0,merriwh01
474,Jake Meyers,HOU,52,150,13,34,6,2,1,15,2,1,7,54,2,1,0,meyerja02
475,Keynan Middleton,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,middlke01
476,Brad Miller,TEX,81,222,20,47,3,0,7,32,4,2,18,70,0,1,0,millebr02
477,Owen Miller,CLE,130,424,53,103,26,1,6,51,2,0,32,93,7,9,1,milleow01
478,Alec Mills,CHC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,millsal02
479,Wyatt Mills,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,millswy01
480,Jose Miranda,MIN,125,444,45,119,25,0,15,66,1,1,28,91,10,1,0,miranjo01
481,Calvin Mitchell,PIT,69,212,21,48,11,0,5,17,3,1,18,52,0,1,0,mitchca01
482,Garrett Mitchell,MIL,28,61,9,19,3,0,2,9,8,0,6,28,0,0,0,mitchga01
483,Yadier Molina,STL,78,262,19,56,8,0,5,24,2,0,5,40,2,1,0,molinya01
484,Yoan Moncada,CHW,104,397,41,84,18,1,12,51,2,0,32,114,2,1,2,moncayo01
485,Adalberto Mondesí,KCR,15,50,3,7,0,0,0,3,5,0,4,20,0,0,0,mondera02
486,Nate Mondou,OAK,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,mondona01
487,Mickey Moniak,TOT,37,106,13,18,3,1,3,8,1,0,4,44,1,0,0,moniami01
488,Elehuris Montero,COL,53,176,21,41,15,1,6,20,0,0,8,60,1,0,0,monteel01
489,Dylan Moore,SEA,104,205,41,46,11,2,6,24,21,8,34,75,13,1,2,mooredy01
490,Colin Moran,CIN,42,109,11,23,3,0,5,23,0,0,16,30,0,3,0,moranco01
491,Christopher Morel,CHC,113,379,55,89,19,4,16,47,10,7,38,137,3,2,0,morelch01
492,Gabriel Moreno,TOR,25,69,10,22,1,0,1,7,0,0,4,8,0,0,0,morenga01
493,Dauri Moreta,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moretda01
494,Reyes Moronta,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moronre01
495,Taylor Motter,CIN,2,6,0,1,0,0,0,0,0,0,0,3,0,0,0,motteta01
496,Ryan Mountcastle,BAL,145,555,62,139,28,1,22,85,4,1,43,154,4,7,1,mountry01
497,Mike Moustakas,CIN,78,252,30,54,12,0,7,25,2,0,24,75,6,3,0,moustmi01
498,Cedric Mullins,BAL,156,608,89,157,32,4,16,64,34,10,47,126,9,5,2,mullice01
499,Max Muncy,LAD,136,464,69,91,22,1,21,69,2,0,90,141,5,6,1,muncyma01
500,Yairo Munoz,PHI,29,57,7,12,2,0,3,7,1,0,3,10,0,0,0,munozya01
501,Penn Murfee,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,murfepe01
502,Sean Murphy,OAK,148,537,67,134,37,2,18,66,1,0,56,124,13,5,2,murphse01
503,Tom Murphy,SEA,14,33,9,10,2,0,1,1,0,0,8,13,0,0,0,murphto04
504,Simon Muzziotti,PHI,9,7,0,1,0,0,0,0,0,0,0,2,1,0,0,muzzisi01
505,Wil Myers,SDP,77,261,29,68,15,0,7,41,2,1,21,86,1,3,1,myerswi01
506,Tyler Naquin,TOT,105,310,47,71,19,4,11,46,4,2,19,93,4,0,2,naquity01
507,Andrew Nardi,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nardian01
508,Omar Narvaez,MIL,84,262,21,54,12,1,4,23,0,0,29,57,3,1,1,narvaom01
509,Bo Naylor,CLE,5,8,0,0,0,0,0,0,0,0,0,5,0,0,0,naylobo01
510,Josh Naylor,CLE,122,449,47,115,28,0,20,79,6,1,38,80,6,5,4,naylojo01
511,Kyle Nelson,ARI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nelsoky01
512,Sheldon Neuse,OAK,89,271,25,58,4,2,4,26,6,1,20,80,2,0,0,neusesh01
513,Tyler Nevin,BAL,58,157,17,31,4,0,2,16,0,0,20,46,4,3,0,nevinty01
514,Kevin Newman,PIT,78,288,31,79,18,2,2,24,8,2,16,48,2,1,0,newmake01
515,Tomás Nido,NYM,98,284,31,68,15,0,3,28,0,0,14,76,1,2,0,nidoto01
516,Brandon Nimmo,NYM,151,580,102,159,30,7,16,64,3,2,71,116,16,3,0,nimmobr01
517,Austin Nola,SDP,110,347,40,87,15,0,4,40,2,1,34,60,6,9,1,nolaau01
518,Lars Nootbaar,STL,108,290,53,66,16,3,14,40,4,1,51,71,1,5,1,nootbla01
519,Daniel Norris,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norrida01
520,Dom Nunez,COL,14,33,3,4,1,0,0,2,0,0,6,10,0,2,0,nunezdo01
521,Ryan O'Hearn,KCR,67,134,14,32,6,1,1,16,0,0,8,35,2,1,0,ohearry01
522,Logan O'Hoppe,LAA,5,14,1,4,0,0,0,2,0,0,2,3,0,0,0,ohopplo01
523,Brian O'Keefe,SEA,2,3,0,1,0,0,0,0,0,0,1,2,0,0,0,okeefbr01
524,Tyler O'Neill,STL,96,334,56,76,11,1,14,58,14,4,38,103,4,7,0,oneilty01
525,Rougned Odor,BAL,135,426,49,88,19,3,13,53,6,1,32,109,10,4,1,odorro01
526,Shohei Ohtani,LAA,157,586,90,160,30,6,34,95,11,9,72,161,5,3,14,ohtansh01
527,Steven Okert,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,okertst01
528,Chris Okey,CIN,7,12,3,2,0,0,0,0,0,0,0,5,1,0,0,okeych01
529,Edward Olivares,KCR,53,161,24,46,8,0,4,15,2,3,10,36,2,1,0,olivaed02
530,Matt Olson,ATL,162,616,86,148,44,0,34,103,0,0,75,170,4,4,6,olsonma02
531,Rafael Ortega,CHC,118,316,35,76,14,1,7,35,12,7,44,74,2,7,2,ortegra01
532,James Outman,LAD,4,13,6,6,2,0,1,3,0,0,2,7,1,0,0,outmaja01
533,Chris Owings,BAL,26,56,6,6,2,0,0,0,1,0,10,24,1,0,0,owingch01
534,Marcell Ozuna,ATL,124,470,56,106,19,0,23,56,2,1,31,122,2,4,0,ozunama01
535,Cristian Pache,OAK,91,241,18,40,5,2,3,18,2,2,15,70,1,0,0,pachecr01
536,Kevin Padlo,TOT,13,33,0,4,1,0,0,3,0,0,1,10,0,0,0,padloke01
537,Jermaine Palacios,MIN,30,70,8,10,0,0,2,6,0,0,4,27,0,2,0,palacje01
538,Josh Palacios,WSN,29,47,8,10,2,0,0,2,1,0,1,15,1,0,0,palacjo01
539,Richie Palacios,CLE,54,112,7,26,6,0,0,10,2,0,9,20,1,1,1,palacri01
540,Michael Papierski,TOT,39,91,7,13,1,0,1,4,0,0,10,26,0,0,0,papiemi01
541,Isaac Paredes,TBR,111,331,48,68,16,0,20,45,0,1,44,67,4,2,0,paredis01
542,Hoy Park,PIT,23,51,7,11,2,0,2,6,1,0,4,15,1,2,0,parkho01
543,Vinnie Pasquantino,KCR,72,258,25,76,10,0,10,26,1,0,35,34,3,2,1,pasquvi01
544,Joel Payamps,TOT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,payamjo01
545,Mark Payton,CHW,8,21,3,3,0,0,0,1,0,0,4,4,0,0,0,paytoma01
546,Joc Pederson,SFG,134,380,57,104,19,3,23,70,3,2,42,100,7,4,3,pederjo01
547,Liover Peguero,PIT,1,3,0,1,0,0,0,0,0,0,1,2,0,0,0,pegueli01
548,Jeremy Pena,HOU,136,521,72,132,20,2,22,63,11,2,22,135,6,5,0,penaje02
549,David Peralta,TOT,134,439,39,110,30,3,12,59,1,3,41,114,4,6,5,peralda01
550,Oswald Peraza,NYY,18,49,8,15,3,0,1,2,2,0,6,9,2,0,0,perazos02
551,Geraldo Perdomo,ARI,148,431,58,84,10,2,5,40,9,2,50,103,5,2,0,perdoge01
